"0","date","returns"
"1",2003-10-31,0.0358316932710647
"2",2003-11-28,0.0205171584062072
"3",2003-12-31,0.0533397981221857
"4",2004-01-30,0.0165753012300598
"5",2004-02-27,0.0230238192504184
"6",2004-03-31,0.00371547932568728
"7",2004-04-30,-0.0450760312727335
"8",2004-05-28,0.0107745447194789
"9",2004-06-30,0.0251169779016271
"10",2004-07-30,-0.031330276716819
"11",2004-08-31,0.0135029537111047
"12",2004-09-30,0.0314195455425406
"13",2004-10-29,0.0192552410945828
"14",2004-11-30,0.0605011329755567
"15",2004-12-31,0.0309285945396247
"16",2005-01-31,-0.0156046102533314
"17",2005-02-28,0.0395476296070056
"18",2005-03-31,-0.0344343676772423
"19",2005-04-29,-0.0178156945867762
"20",2005-05-31,0.0254177752168518
"21",2005-06-30,0.0221937775077836
"22",2005-07-29,0.0421842531229395
"23",2005-08-31,0.00697904914666791
"24",2005-09-30,0.0290982792589212
"25",2005-10-31,-0.0358319501184595
"26",2005-11-30,0.0380291398948802
"27",2005-12-30,0.0255797530899757
"28",2006-01-31,0.0718723555177234
"29",2006-02-28,-0.0106803861434041
"30",2006-03-31,0.0260674586044622
"31",2006-04-28,0.030405072918503
"32",2006-05-31,-0.0545512515714993
"33",2006-06-30,0.000745007307941137
"34",2006-07-31,0.00424457580320525
"35",2006-08-31,0.0212317231990382
"36",2006-09-29,0.00646506580405171
"37",2006-10-31,0.0447156689777659
"38",2006-11-30,0.0327825541998454
"39",2006-12-29,0.024447643269724
"40",2007-01-31,0.0100661772347996
"41",2007-02-28,-0.0126766496492056
"42",2007-03-30,0.02498092375732
"43",2007-04-30,0.0308150280384178
"44",2007-05-31,0.0336824242152083
"45",2007-06-29,0.00281664554040284
"46",2007-07-31,-0.0189222659446627
"47",2007-08-31,0.00791034934440971
"48",2007-09-28,0.0555846147805374
"49",2007-10-31,0.053873802806653
"50",2007-11-30,-0.05088618810278
"51",2007-12-31,-0.0142996734079135
"52",2008-01-31,-0.060874539346279
"53",2008-02-29,-0.00550399015459369
"54",2008-03-31,-0.0117530758234451
"55",2008-04-30,0.0542011464874961
"56",2008-05-30,0.0206053154925963
"57",2008-06-30,-0.0778702827859414
"58",2008-07-31,-0.0218367735715416
"59",2008-08-29,-0.0179764136003835
"60",2008-09-30,-0.0956774700356632
"61",2008-10-31,-0.185953685892787
"62",2008-11-28,-0.0675039696540952
"63",2008-12-31,0.0712407706073017
"64",2009-01-30,-0.0940398208399817
"65",2009-02-27,-0.0778485886779374
"66",2009-03-31,0.0891794370771879
"67",2009-04-30,0.113267050813161
"68",2009-05-29,0.0839738768577307
"69",2009-06-30,-0.00696001148142844
"70",2009-07-31,0.0855666355156874
"71",2009-08-31,0.0173777096563701
"72",2009-09-30,0.054459315503641
"73",2009-10-30,-0.0290280202864047
"74",2009-11-30,0.0495104647012365
"75",2009-12-31,0.0252949123160506
"76",2010-01-29,-0.043675273726354
"77",2010-02-26,0.0194652307565506
"78",2010-03-31,0.061416941624802
"79",2010-04-30,0.00990298074371587
"80",2010-05-28,-0.0775709844792657
"81",2010-06-30,-0.0283708616902872
"82",2010-07-30,0.0796596363163351
"83",2010-08-31,-0.0360334709730925
"84",2010-09-30,0.089130669923853
"85",2010-10-29,0.029984151592916
"86",2010-11-30,-0.0159735485780913
"87",2010-12-31,0.0645888932433623
"88",2011-01-31,-0.00694509704408697
"89",2011-02-28,0.0197035483155883
"90",2011-03-31,0.0204099104531918
"91",2011-04-29,0.0279410135561493
"92",2011-05-31,-0.0174789376008092
"93",2011-06-30,-0.0115157328728016
"94",2011-07-29,-0.0135635068436126
"95",2011-08-31,-0.0680489432842243
"96",2011-09-30,-0.107230908421539
"97",2011-10-31,0.112045574978543
"98",2011-11-30,-0.0100840732447012
"99",2011-12-30,-0.0096712429419914
"100",2012-01-31,0.0669466026491166
"101",2012-02-29,0.0351932633081327
"102",2012-03-30,0.000388529522731051
"103",2012-04-30,-0.0124370900068118
"104",2012-05-31,-0.0749059220860555
"105",2012-06-29,0.0424814273510541
"106",2012-07-31,0.0028574018754155
"107",2012-08-31,0.0188159132277921
"108",2012-09-28,0.0313050829205963
"109",2012-10-31,-0.00661752521518344
"110",2012-11-30,0.0141657478447383
"111",2012-12-31,0.0367011862552635
"112",2013-01-31,0.0235003785069097
"113",2013-02-28,-0.00301878302759384
"114",2013-03-28,0.0142892690651053
"115",2013-04-30,0.0172563883701895
"116",2013-05-31,-0.00935966220397666
"117",2013-06-28,-0.0246658469022477
"118",2013-07-31,0.037574576704134
"119",2013-08-30,-0.0248769411263448
"120",2013-09-30,0.0558905565993963
"121",2013-10-31,0.0347662256695647
"122",2013-11-29,0.0152222992981428
"123",2013-12-31,0.00970512377861343
"124",2014-01-31,-0.0454465265711766
"125",2014-02-28,0.0399648428268125
"126",2014-03-31,0.0135942060497958
"127",2014-04-30,0.00177013254119607
"128",2014-05-30,0.0179838128404628
"129",2014-06-30,0.0209212674405679
"130",2014-07-31,-0.0161576100310223
"131",2014-08-29,0.0272974694046131
"132",2014-09-30,-0.0454056613529513
"133",2014-10-31,0.0258843584732353
"134",2014-11-28,0.00350837437698348
"135",2014-12-31,-0.0112700378462476
"136",2015-01-30,-0.0174329008732982
"137",2015-02-27,0.046157028734624
"138",2015-03-31,-0.00641432328859814
"139",2015-04-30,0.0202552513889225
"140",2015-05-29,-0.00650543905648804
"141",2015-06-30,-0.0172543359044292
"142",2015-07-31,-0.0132640771734732
"143",2015-08-31,-0.0589827308087982
"144",2015-09-30,-0.0281823634972576
"145",2015-10-30,0.0601218525422982
"146",2015-11-30,-0.00067597516539164
"147",2015-12-31,-0.0296952733514384
"148",2016-01-29,-0.0444220019014865
"149",2016-02-29,-0.00131665453509422
"150",2016-03-31,0.078642882430529
"151",2016-04-29,0.0111984735867621
"152",2016-05-31,-0.00371636239233164
"153",2016-06-30,0.0115002424800645
"154",2016-07-29,0.0402646930835471
"155",2016-08-31,0.00580292091364099
"156",2016-09-30,0.0102841298339578
"157",2016-10-31,-0.0200478817626779
"158",2016-11-30,0.0254013739374195
"159",2016-12-30,0.0173918045112389
"160",2017-01-31,0.0201233542563577
"161",2017-02-28,0.0188196856265488
"162",2017-03-31,0.0117605945576169
"163",2017-04-28,0.0124381785863945
"164",2017-05-31,0.010089044279771
"165",2017-06-30,0.0117845097090055
"166",2017-07-31,0.0249028723181444
"167",2017-08-31,0.000231483973337276
"168",2017-09-29,0.0293169939238516
"169",2017-10-31,0.0174165943063689
"170",2017-11-30,0.0165822319611002
"171",2017-12-29,0.0133348517463128
"172",2018-01-31,0.0431615955781162
"173",2018-02-28,-0.0424668926451892
"174",2018-03-29,-0.00185378379236167
"175",2018-04-30,0.000100053497541275
"176",2018-05-31,0.0121892768821759
"177",2018-06-29,-0.00963154974414815
"178",2018-07-31,0.0282515751841774
"179",2018-08-31,0.00456898874664713
"180",2018-09-28,-0.00798360196534831
"181",2018-10-25,-0.0805257228224875
