"0","date","returns"
"1",2003-10-31,0.0433691004117494
"2",2003-11-28,0.0238672967096876
"3",2003-12-31,0.0595957560185192
"4",2004-01-30,0.018335734499012
"5",2004-02-27,0.0241882985187449
"6",2004-03-31,0.00308074398047831
"7",2004-04-30,-0.045200710707854
"8",2004-05-28,0.0132987407174581
"9",2004-06-30,0.0290122194233176
"10",2004-07-30,-0.037976900900574
"11",2004-08-31,0.0119456220779697
"12",2004-09-30,0.0341779778098499
"13",2004-10-29,0.0206155090454092
"14",2004-11-30,0.0701195023064805
"15",2004-12-31,0.0336940331202424
"16",2005-01-31,-0.0193573300928478
"17",2005-02-28,0.0432516081302781
"18",2005-03-31,-0.0355759470316875
"19",2005-04-29,-0.0235916253237934
"20",2005-05-31,0.0278588302124716
"21",2005-06-30,0.0233456130911796
"22",2005-07-29,0.0484582864855401
"23",2005-08-31,0.00589006660539537
"24",2005-09-30,0.0314203740213088
"25",2005-10-31,-0.0378217705361399
"26",2005-11-30,0.0418804262602412
"27",2005-12-30,0.0254018727927237
"28",2006-01-31,0.0775377547920921
"29",2006-02-28,-0.0103846609300462
"30",2006-03-31,0.0309368796858949
"31",2006-04-28,0.0321668033166891
"32",2006-05-31,-0.0571438440524156
"33",2006-06-30,0.000961725046205952
"34",2006-07-31,0.00177066302499762
"35",2006-08-31,0.0222822033694898
"36",2006-09-29,0.00697393921484246
"37",2006-10-31,0.0480078360210461
"38",2006-11-30,0.0337980658236388
"39",2006-12-29,0.0261663600116273
"40",2007-01-31,0.0119588707662683
"41",2007-02-28,-0.0147316331207125
"42",2007-03-30,0.026345912585559
"43",2007-04-30,0.0333057214359873
"44",2007-05-31,0.0374242521035257
"45",2007-06-29,0.001170859106852
"46",2007-07-31,-0.0240303357363822
"47",2007-08-31,0.00717369197492257
"48",2007-09-28,0.056677922622651
"49",2007-10-31,0.053489961039606
"50",2007-11-30,-0.05587564365943
"51",2007-12-31,-0.015904528598138
"52",2008-01-31,-0.0680752787065914
"53",2008-02-29,-0.0080307208477729
"54",2008-03-31,-0.0112629230784814
"55",2008-04-30,0.0576795097685363
"56",2008-05-30,0.0236950437379686
"57",2008-06-30,-0.085459367660223
