"0","date","returns"
"1",2003-10-31,0.019544626228482
"2",2003-11-28,0.0132179214634576
"3",2003-12-31,0.038208592971914
"4",2004-01-30,0.0130766640167783
"5",2004-02-27,0.0177942013282684
"6",2004-03-31,0.00211928126153293
"7",2004-04-30,-0.0356030573239582
"8",2004-05-28,0.00699248779288841
"9",2004-06-30,0.018321730964783
"10",2004-07-30,-0.0184859571246876
"11",2004-08-31,0.0126897128094223
"12",2004-09-30,0.0195112905253307
"13",2004-10-29,0.0148519050696108
"14",2004-11-30,0.0361427665210086
"15",2004-12-31,0.0236931948090504
"16",2005-01-31,-0.0103904045883451
"17",2005-02-28,0.0233421049225351
"18",2005-03-31,-0.0245665287868359
"19",2005-04-29,-0.00722278220723194
"20",2005-05-31,0.0210541493515928
"21",2005-06-30,0.0149145168648612
"22",2005-07-29,0.0254209989801484
"23",2005-08-31,0.00595283738380403
"24",2005-09-30,0.0144735758262644
"25",2005-10-31,-0.0264688485982238
"26",2005-11-30,0.0287266468398391
"27",2005-12-30,0.0173304625476329
"28",2006-01-31,0.0439594542062898
"29",2006-02-28,-0.00492420635724589
"30",2006-03-31,0.0150312896972815
"31",2006-04-28,0.0191642888906638
"32",2006-05-31,-0.0370473701890937
"33",2006-06-30,0.000369840119735843
"34",2006-07-31,0.0069277236722991
"35",2006-08-31,0.01984642353079
"36",2006-09-29,0.010478853897935
"37",2006-10-31,0.0323254902415866
"38",2006-11-30,0.0249109560039171
"39",2006-12-29,0.0147430932789379
"40",2007-01-31,0.00800800667916968
"41",2007-02-28,-0.00626951388672625
"42",2007-03-30,0.0159307009536884
"43",2007-04-30,0.0263482754042688
"44",2007-05-31,0.0228656995265071
"45",2007-06-29,-0.00142125443440744
"46",2007-07-31,-0.0135039207411325
"47",2007-08-31,0.00985229928031406
"48",2007-09-28,0.0407324996658485
"49",2007-10-31,0.037345086084813
"50",2007-11-30,-0.032836036497224
"51",2007-12-31,-0.010328463064992
"52",2008-01-31,-0.0396645185241379
"53",2008-02-29,-0.00727318790150344
"54",2008-03-31,-0.00785038441494157
"55",2008-04-30,0.0394478521669415
"56",2008-05-30,0.0111143873956758
"57",2008-06-30,-0.0591451001101743
"58",2008-07-31,-0.0131001829403113
"59",2008-08-29,-0.00645200205882557
"60",2008-09-30,-0.0735444776946089
"61",2008-10-31,-0.134585632919899
"62",2008-11-28,-0.0349101845399205
"63",2008-12-31,0.0619129303980044
"64",2009-01-30,-0.0658820878247363
"65",2009-02-27,-0.0558447537194119
"66",2009-03-31,0.057551096703035
"67",2009-04-30,0.0707193588388133
"68",2009-05-29,0.0536621673375375
"69",2009-06-30,-0.00242778191209436
"70",2009-07-31,0.0593399604301834
"71",2009-08-31,0.0180001032963901
"72",2009-09-30,0.0383134626297112
"73",2009-10-30,-0.0179405930097968
"74",2009-11-30,0.039103789372487
"75",2009-12-31,0.0106214159234399
